Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
29,C1518208,GRM155R61H105KE05D,muRata,0402,,1uF ±10% 50V Ceramic Capacitor X5R 0402,yes,40,20,20,0.0447,1.79,https://www.lcsc.com/product-detail/C1518208.html
30,C408132,GRM155R61A106ME11D,muRata,0402,,10uF ±20% 10V Ceramic Capacitor X5R 0402,yes,50,50,50,0.0290,1.45,https://www.lcsc.com/product-detail/C408132.html
31,C357023,HCB3216KF-601T30,TAI-TECH,1206,,600Ω@100MHz 1 Line Ferrite Bead 1206 3A 40mΩ,yes,40,20,20,0.0494,1.98,https://www.lcsc.com/product-detail/C357023.html
32,C99782,RC0603FR-074K7L,YAGEO,0603,,100mW 4.7kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0018,0.18,https://www.lcsc.com/product-detail/C99782.html
33,C2653986,ESR03EZPF1001,ROHM,0603,,250mW 1kΩ 150V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,50,50,0.0142,1.42,https://www.lcsc.com/product-detail/C2653986.html
34,C427297,ERJP03F1000V,PANASONIC,0603,,100Ω ±1% 200mW 0603 Thick Film Resistor AEC-Q200,yes,60,20,20,0.0288,1.73,https://www.lcsc.com/product-detail/C427297.html
35,C873681,SR0603FR-7T22RL,YAGEO,0603,,22Ω 250mW 150V Thick Film Resistor ±1% ±200ppm/℃ 0603 Chip Resistor - Surface Mount RoHS,yes,100,50,50,0.0132,1.32,https://www.lcsc.com/product-detail/C873681.html
36,C2774420,HP03W5J0512T5E,UNI-ROYAL,0603,,5.1kΩ ±5% 200mW 0603 Thick Film Resistor AEC-Q200,yes,100,100,100,0.0016,0.16,https://www.lcsc.com/product-detail/C2774420.html
37,C2074257,ESR03EZPF4700,ROHM,0603,,250mW 470Ω 150V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,50,50,0.0165,1.65,https://www.lcsc.com/product-detail/C2074257.html
38,C543357,ERJPA3F1501V,PANASONIC,0603,,1.5kΩ ±1% 250mW 0603 Thick Film Resistor AEC-Q200,yes,100,20,20,0.0270,2.70,https://www.lcsc.com/product-detail/C543357.html
39,C4351468,ERJ-UP3F3301V,PANASONIC,0603,,3.3kΩ 250mW Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,60,20,20,0.0389,2.33,https://www.lcsc.com/product-detail/C4351468.html
40,C873683,SR0603FR-7T2K2L,YAGEO,0603,,250mW 2.2kΩ Thick Film Resistor ±1% ±200ppm/℃ 0603 Chip Resistor - Surface Mount RoHS,yes,100,50,50,0.0060,0.60,https://www.lcsc.com/product-detail/C873683.html
41,C856528,AT0603DRE072KL,YAGEO,0603,,2kΩ ±0.5% 100mW 0603 Thin Film Resistor,yes,40,20,20,0.0251,1.00,https://www.lcsc.com/product-detail/C856528.html
42,C307918,ESR03EZPF4702,ROHM,0603,,47kΩ 250mW 150V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,50,50,0.0137,1.37,https://www.lcsc.com/product-detail/C307918.html
43,C95204,RT0603BRD0710KL,YAGEO,0603,,100mW 10kΩ 75V Thin Film Resistor ±25ppm/℃ ±0.1% 0603 Chip Resistor - Surface Mount RoHS,yes,60,20,20,0.0232,1.39,https://www.lcsc.com/product-detail/C95204.html
